CD_MUN,NM_MUN,SIGLA_UF,AREA_KM2,boundbox,s_lim,o_lim,n_lim,l_lim
4100000,Escolha um município,PR,228.717,"-54.620213325 -26.71712200, -48.023537434 -26.7171220059, -48.023537434 -22.5162951639, -54.620213325 -22.516295163, -54.620213325 -26.71712200","-54.620213325","-26.71712200","-48.023537434","-22.5162951639"
4100103,Abatiá,PR,228.717,"-50.48110161 -23.38284845, -50.19146793 -23.38284845, -50.19146793 -23.22442889, -50.48110161 -23.22442889, -50.48110161 -23.38284845","-50,48110161","-23,38284845","-50,19146793","-23,22442889"
4100202,Adrianópolis,PR,1.349.311,"-49.13915704 -24.94446489, -48.49930631 -24.94446489, -48.49930631 -24.63323889, -49.13915704 -24.63323889, -49.13915704 -24.94446489","-49,13915704","-24,94446489","-48,49930631","-24,63323889"
4100301,Agudos do Sul,PR,192.261,"-49.37745279 -26.13887793, -49.23161642 -26.13887793, -49.23161642 -25.94260254, -49.37745279 -25.94260254, -49.37745279 -26.13887793","-49,37745279","-26,13887793","-49,23161642","-25,94260254"
4100400,Almirante Tamandaré,PR,194.228,"-49.45219536 -25.3869504, -49.22949636 -25.3869504, -49.22949636 -25.22433394, -49.45219536 -25.22433394, -49.45219536 -25.3869504","-49,45219536","-25,3869504","-49,22949636","-25,22433394"
4100459,Altamira do Paraná,PR,386.945,"-52.87876892 -24.93201195, -52.53467808 -24.93201195, -52.53467808 -24.71726457, -52.87876892 -24.71726457, -52.87876892 -24.93201195","-52,87876892","-24,93201195","-52,53467808","-24,71726457"
4100509,Altônia,PR,661.560,"-54.16900813 -24.03672051, -53.73884161 -24.03672051, -53.73884161 -23.79131567, -54.16900813 -23.79131567, -54.16900813 -24.03672051","-54,16900813","-24,03672051","-53,73884161","-23,79131567"
4100608,Alto Paraná,PR,407.719,"-52.4209148 -23.23410791, -52.23299009 -23.23410791, -52.23299009 -22.90665864, -52.4209148 -22.90665864, -52.4209148 -23.23410791","-52,4209148","-23,23410791","-52,23299009","-22,90665864"
4100707,Alto Piquiri,PR,447.666,"-53.51913793 -24.25303058, -53.31186905 -24.25303058, -53.31186905 -23.92950524, -53.51913793 -23.92950524, -53.51913793 -24.25303058","-53,51913793","-24,25303058","-53,31186905","-23,92950524"
4100806,Alvorada do Sul,PR,424.250,"-51.3558975 -22.96677238, -51.15459315 -22.96677238, -51.15459315 -22.66620526, -51.3558975 -22.66620526, -51.3558975 -22.96677238","-51,3558975","-22,96677238","-51,15459315","-22,66620526"
4100905,Amaporã,PR,384.735,"-52.9386186 -23.27428561, -52.71518934 -23.27428561, -52.71518934 -23.00378096, -52.9386186 -23.00378096, -52.9386186 -23.27428561","-52,9386186","-23,27428561","-52,71518934","-23,00378096"
4101002,Ampére,PR,298.349,"-53.60695685 -26.02031412, -53.34550902 -26.02031412, -53.34550902 -25.79618321, -53.60695685 -25.79618321, -53.60695685 -26.02031412","-53,60695685","-26,02031412","-53,34550902","-25,79618321"
4101051,Anahy,PR,102.895,"-53.22254263 -24.7123589, -53.08352093 -24.7123589, -53.08352093 -24.56962133, -53.22254263 -24.56962133, -53.22254263 -24.7123589","-53,22254263","-24,7123589","-53,08352093","-24,56962133"
4101101,Andirá,PR,235.944,"-50.3699866 -23.12199269, -50.170095 -23.12199269, -50.170095 -22.93100134, -50.3699866 -22.93100134, -50.3699866 -23.12199269","-50,3699866","-23,12199269","-50,170095","-22,93100134"
4101150,Ângulo,PR,106.021,"-51.97686334 -23.26405692, -51.86480456 -23.26405692, -51.86480456 -23.13034174, -51.97686334 -23.13034174, -51.97686334 -23.26405692","-51,97686334","-23,26405692","-51,86480456","-23,13034174"
4101200,Antonina,PR,891.582,"-48.85298428 -25.50302526, -48.55422829 -25.50302526, -48.55422829 -25.08891364, -48.85298428 -25.08891364, -48.85298428 -25.50302526","-48,85298428","-25,50302526","-48,55422829","-25,08891364"
4101309,Antônio Olinto,PR,469.620,"-50.26977302 -26.07904249, -49.9643119 -26.07904249, -49.9643119 -25.81276567, -50.26977302 -25.81276567, -50.26977302 -26.07904249","-50,26977302","-26,07904249","-49,9643119","-25,81276567"
4101408,Apucarana,PR,556.990,"-51.63270419 -23.73721356, -51.21424584 -23.73721356, -51.21424584 -23.41789925, -51.63270419 -23.41789925, -51.63270419 -23.73721356","-51,63270419","-23,73721356","-51,21424584","-23,41789925"
4101507,Arapongas,PR,382.215,"-51.59548479 -23.5494878, -51.30131841 -23.5494878, -51.30131841 -23.34236049, -51.59548479 -23.34236049, -51.59548479 -23.5494878","-51,59548479","-23,5494878","-51,30131841","-23,34236049"
4101606,Arapoti,PR,1.358.176,"-50.22081698 -24.30135364, -49.73954031 -24.30135364, -49.73954031 -23.84379325, -50.22081698 -23.84379325, -50.22081698 -24.30135364","-50,22081698","-24,30135364","-49,73954031","-23,84379325"
4101655,Arapuã,PR,217.371,"-51.9197129 -24.41953151, -51.72559929 -24.41953151, -51.72559929 -24.23572307, -51.9197129 -24.23572307, -51.9197129 -24.41953151","-51,9197129","-24,41953151","-51,72559929","-24,23572307"
4101705,Araruna,PR,493.191,"-52.75339323 -24.10470185, -52.41785945 -24.10470185, -52.41785945 -23.74711439, -52.75339323 -23.74711439, -52.75339323 -24.10470185","-52,75339323","-24,10470185","-52,41785945","-23,74711439"
4101804,Araucária,PR,469.240,"-49.58658108 -25.78888394, -49.33796327 -25.78888394, -49.33796327 -25.47976518, -49.58658108 -25.47976518, -49.58658108 -25.78888394","-49,58658108","-25,78888394","-49,33796327","-25,47976518"
4101853,Ariranha do Ivaí,PR,234.076,"-51.66273176 -24.44819403, -51.42211045 -24.44819403, -51.42211045 -24.3100616, -51.66273176 -24.3100616, -51.66273176 -24.44819403","-51,66273176","-24,44819403","-51,42211045","-24,3100616"
4101903,Assaí,PR,440.347,"-51.01040176 -23.55493492, -50.75218979 -23.55493492, -50.75218979 -23.28208153, -51.01040176 -23.28208153, -51.01040176 -23.55493492","-51,01040176","-23,55493492","-50,75218979","-23,28208153"
4102000,Assis Chateaubriand,PR,980.727,"-53.7158445 -24.68949418, -53.42984628 -24.68949418, -53.42984628 -24.20093762, -53.7158445 -24.20093762, -53.7158445 -24.68949418","-53,7158445","-24,68949418","-53,42984628","-24,20093762"
4102109,Astorga,PR,434.792,"-51.87113026 -23.38741814, -51.59000659 -23.38741814, -51.59000659 -23.08474076, -51.87113026 -23.08474076, -51.87113026 -23.38741814","-51,87113026","-23,38741814","-51,59000659","-23,08474076"
4102208,Atalaia,PR,137.663,"-52.15362425 -23.19575136, -51.96987284 -23.19575136, -51.96987284 -23.05886307, -52.15362425 -23.05886307, -52.15362425 -23.19575136","-52,15362425","-23,19575136","-51,96987284","-23,05886307"
4102307,Balsa Nova,PR,348.926,"-49.80939902 -25.61990224, -49.56343214 -25.61990224, -49.56343214 -25.35514084, -49.80939902 -25.35514084, -49.80939902 -25.61990224","-49,80939902","-25,61990224","-49,56343214","-25,35514084"
4102406,Bandeirantes,PR,445.192,"-50.47669516 -23.27602841, -50.2091606 -23.27602841, -50.2091606 -23.03115292, -50.47669516 -23.03115292, -50.47669516 -23.27602841","-50,47669516","-23,27602841","-50,2091606","-23,03115292"
4102505,Barbosa Ferraz,PR,538.636,"-52.22758043 -24.23450053, -51.88952799 -24.23450053, -51.88952799 -23.91173517, -52.22758043 -23.91173517, -52.22758043 -24.23450053","-52,22758043","-24,23450053","-51,88952799","-23,91173517"
